date,Coronavirus,SARS-CoV-2,Covid Symptoms,Covid Vaccine,Intensive Care
2020-01-01,,,,,
2020-01-02,,,,,
2020-01-03,,,,,
2020-01-04,,,,,
2020-01-05,0.0,,,,1.23
2020-01-06,0.0,,,,0.6
2020-01-07,0.0,,,,1.65
2020-01-08,0.0,,,,1.95
2020-01-09,0.0,,,,2.31
2020-01-10,0.0,,,,2.61
2020-01-11,0.0,,,,1.23
2020-01-12,0.0,,,,1.0
2020-01-13,0.0,,,,0.84
2020-01-14,0.0,,,,1.62
2020-01-15,0.0,,,,1.1
2020-01-16,0.0,,,,0.56
2020-01-17,0.0,,,,1.54
2020-01-18,0.0,,,,1.0
2020-01-19,0.0,,,,0.87
2020-01-20,0.0,,,,2.4299999999999997
2020-01-21,0.02,,,,1.08
2020-01-22,0.03,,,,1.65
2020-01-23,0.07,,,,1.1099999999999999
2020-01-24,0.08,,,,1.41
2020-01-25,0.13,,,,3.0
2020-01-26,1.82,,,,1.84
2020-01-27,1.82,,,,0.18
2020-01-28,4.42,,,,0.88
2020-01-29,4.16,,,,1.26
2020-01-30,8.32,,,,0.72
2020-01-31,13.0,,,,0.92
2020-02-01,1.56,,,,0.3
2020-02-02,0.49000000000000005,0.0,0.0,0.0,0.28
2020-02-03,0.35000000000000003,0.0,0.0,0.0,0.14
2020-02-04,0.28,0.0,0.0,0.0,0.28
2020-02-05,0.28,0.0,0.0,0.0,0.16
2020-02-06,0.28,0.0,0.0,0.0,0.06
2020-02-07,0.28,0.0,0.0,0.0,0.16
2020-02-08,0.21000000000000002,0.0,0.0,0.0,0.14
2020-02-09,0.18,0.0,0.0,0.0,0.3
2020-02-10,0.24,0.0,0.0,0.0,0.48
2020-02-11,0.24,0.0,0.0,0.0,0.48
2020-02-12,0.24,0.22,0.0,0.0,0.21
2020-02-13,0.18,0.0,0.0,0.0,0.32999999999999996
2020-02-14,0.18,0.0,0.0,0.0,0.15
2020-02-15,0.18,0.0,0.0,0.0,0.3
2020-02-16,0.6900000000000001,0.0,0.0,0.0,0.44
2020-02-17,0.6900000000000001,0.0,0.0,0.0,0.6
2020-02-18,0.6900000000000001,0.0,0.03,0.0,0.56
